Flow_ID,Client_IP_1,Client_IP_2,Client_IP_3,Client_IP_4,Client_IP,Client_Port,Server_IP_1,Server_IP_2,Server_IP_3,Server_IP_4,Server_IP,Server_Port,Transport,Start,End,Duration,Frames,Payload_Bytes,TCP_Flags,File_ID,Gannt_Chart
83,244,3,213,210,4093892050,6130,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,11,1974,  AP SF,1,
84,244,3,213,210,4093892050,12563,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,16,6881,  AP SF,1,
85,244,3,213,210,4093892050,5379,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,10,2556,  AP SF,1,
87,244,3,160,239,4093878511,38137,204,48,176,121,3425742969,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,10,1515,  AP SF,1,
88,244,3,160,239,4093878511,38138,204,48,176,121,3425742969,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,14,5238,  AP SF,1,
89,41,177,3,224,699466720,51334,41,177,117,184,699495864,1618,TCP,12/17/2009 16:37,12/17/2009 16:41,03:40.,197,65419,  AP   ,1,
90,244,3,160,239,4093878511,38139,204,48,176,121,3425742969,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,13,5408,  AP SF,1,
91,244,3,160,239,4093878511,38140,204,48,176,121,3425742969,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,16,6783,  AP SF,1,
92,244,3,160,239,4093878511,38141,204,48,176,121,3425742969,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,10,1875,  AP SF,1,
93,244,3,160,239,4093878511,38142,204,48,176,121,3425742969,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,10,2446,  AP SF,1,
94,41,106,176,15,694857743,42496,41,177,241,46,699527470,443,TCP,12/17/2009 16:37,12/17/2009 16:41,03:39.,84,4369,  AP   ,1,
96,253,254,77,24,4261301528,3601,253,37,253,43,4247125291,23,TCP,12/17/2009 16:37,12/17/2009 16:40,03:06.,129,27765,  AP   ,1,
97,244,3,160,204,4093878476,58293,244,3,160,89,4093878361,443,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,13,3033,  AP SF,1,
103,77,197,128,142,1304789134,56731,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,22,11794,  APRS,1,
104,244,3,210,254,4093891326,19813,244,3,3,185,4093838265,1742,TCP,12/17/2009 16:37,12/17/2009 16:40,03:21.,12,72,  AP   ,1,
110,41,177,26,176,699472560,80,77,197,128,164,1304789156,34325,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,17,11172,  APR  ,1,
